champion_id,champion_name,overall_games,overall_wins,overall_win_rate,classification,classification_reason,peak_bin,peak_win_rate,gap_pp,-20m_games,-20m_wins,-20m_win_rate,-20m_low_95,-20m_high_95,20-25m_games,20-25m_wins,20-25m_win_rate,20-25m_low_95,20-25m_high_95,25-30m_games,25-30m_wins,25-30m_win_rate,25-30m_low_95,25-30m_high_95,30-35m_games,30-35m_wins,30-35m_win_rate,30-35m_low_95,30-35m_high_95,35m-_games,35m-_wins,35m-_win_rate,35m-_low_95,35m-_high_95
75,ナサス,447,228,0.5100671140939598,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,30〜35分,0.5576923076923077,12.485648679678535,68,36,0.5294117647058824,0.41240715813747064,0.6432708891220559,67,29,0.43283582089552236,0.32104123341736546,0.5519147698349607,115,62,0.5391304347826087,0.44823601941908303,0.6274950377191582,104,58,0.5576923076923077,0.4618751630220258,0.6493991504154603,93,43,0.46236559139784944,0.3645445128410233,0.5631725013347029
90,マルザハール,446,239,0.5358744394618834,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,25〜30分,0.5765765765765766,10.782657657657657,64,30,0.46875,0.3517578764404486,0.5892812499952488,76,40,0.5263157894736842,0.4155183265272202,0.6345808698816693,111,64,0.5765765765765766,0.4836090869599066,0.6644208952068343,99,51,0.5151515151515151,0.41799165400572424,0.6111794207344586,96,54,0.5625,0.4627570204559316,0.6574333611084664
39,イレリア,435,224,0.5149425287356322,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,25〜30分,0.5398230088495575,6.855864103346554,68,34,0.5,0.38437863888099083,0.6156213611190091,69,37,0.5362318840579711,0.4197820076036184,0.6488600870236276,113,61,0.5398230088495575,0.448129787057941,0.628897573060373,87,41,0.47126436781609193,0.3698208820020664,0.5751382556617353,98,51,0.5204081632653061,0.4226063199448908,0.6166703607042743
910,フェイ,433,222,0.5127020785219399,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,25〜30分,0.5730337078651685,13.185723727693322,68,30,0.4411764705882353,0.329460449863809,0.5591834556171379,52,26,0.5,0.3688563855796992,0.6311436144203008,89,51,0.5730337078651685,0.46934928250408064,0.670674155265195,108,55,0.5092592592592593,0.4162897139617788,0.601592719765922,116,60,0.5172413793103449,0.427219773046112,0.6061576184439884
3,ガリオ,424,207,0.4882075471698113,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,20〜25分,0.5471698113207547,8.353344768439108,60,28,0.4666666666666667,0.34627701540988,0.5910679132886489,53,29,0.5471698113207547,0.41453742646439184,0.6734263183985252,110,51,0.4636363636363636,0.37324922744634015,0.5564776913601419,99,48,0.48484848484848486,0.3888205792655413,0.5820083459942756,102,51,0.5,0.40474278556489024,0.5952572144351098
412,スレッシュ,421,223,0.5296912114014252,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,30〜35分,0.6216216216216216,21.582452017234623,64,37,0.578125,0.4560981205252726,0.6913040633854843,69,28,0.4057971014492754,0.29788729078613463,0.5236432631830259,110,52,0.4727272727272727,0.38193047126891827,0.5653647178359433,111,69,0.6216216216216216,0.528758121912598,0.706348320352226,67,37,0.5522388059701493,0.43357401531838863,0.6652379821520243
80,パンテオン,420,211,0.5023809523809524,中盤寄り,中間帯が最高、端点との差 8.4%,20〜25分,0.6190476190476191,8.439415370108438,66,27,0.4090909090909091,0.29867234579227303,0.5295102846171105,63,39,0.6190476190476191,0.49558404006594975,0.7288271050891633,88,42,0.4772727272727273,0.37606451443681693,0.5803822373619324,102,49,0.4803921568627451,0.3859172379946161,0.5762904383821584,101,54,0.5346534653465347,0.43789497166288216,0.6288724183807648
112,ビクター,408,207,0.5073529411764706,中盤寄り,中間帯が最高、端点との差 15.9%,30〜35分,0.5913978494623656,15.856202856684327,67,29,0.43283582089552236,0.32104123341736546,0.5519147698349607,64,33,0.515625,0.39581392243999036,0.633666514342161,82,47,0.573170731707317,0.46521012598662703,0.6745822357587271,93,55,0.5913978494623656,0.48979774030427176,0.6857466538403933,102,43,0.4215686274509804,0.3302943233598245,0.518536382147273
711,ヴェックス,400,191,0.4775,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,30〜35分,0.5393258426966292,11.624891961970613,79,39,0.4936708860759494,0.3863008454295994,0.601627924656927,52,22,0.4230769230769231,0.2986784790886045,0.558059150205685,84,38,0.4523809523809524,0.3503554445205683,0.5585715331301119,89,48,0.5393258426966292,0.436292717570131,0.6391045181517867,96,44,0.4583333333333333,0.3621868239541502,0.5576862550029179
11,マスター・イー,397,217,0.5465994962216625,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,30〜35分,0.6111111111111112,15.277777777777784,63,34,0.5396825396825397,0.4178903692159613,0.656913345835743,72,33,0.4583333333333333,0.34828438695135916,0.5726033580329238,103,56,0.5436893203883495,0.44765761687698924,0.6365792346864467,90,55,0.6111111111111112,0.5078226845453938,0.7053024113608994,69,39,0.5652173913043478,0.4478819321166955,0.675673838212347
