scope,observed_tier,patch,role,champion_id,champion_name,games,wins,losses,win_rate,pick_count,pick_rate,pick_rate_denominator,avg_kda,avg_cs_per_min,avg_gold_per_min,avg_damage_share,avg_vision_score,first_blood_rate,first_tower_rate,ban_count,ban_match_count,ban_rate,min_games_applied
overall,MIXED,16.13,ALL,777,Yone,67,32,35,0.47761194029850745,67,0.020364741641337385,3290,2.739341711356636,6.612058751678366,390.2473802723144,0.2544463096675331,19.925373134328357,0.14925373134328357,0.208955223880597,59,57,0.17325227963525835,15
overall,MIXED,16.17,ALL,75,Nasus,66,29,37,0.4393939393939394,66,0.013095238095238096,5040,2.436319909047182,5.977872417993352,378.47771445060664,0.19737093543716044,20.606060606060606,0.015151515151515152,0.07575757575757576,290,241,0.4781746031746032,15
overall,MIXED,16.13,ALL,517,Sylas,66,29,37,0.4393939393939394,66,0.02006079027355623,3290,4.413251916928387,5.63026278255589,393.93630762664634,0.2200520976385103,26.40909090909091,0.19696969696969696,0.045454545454545456,80,75,0.22796352583586627,15
overall,MIXED,16.13,ALL,111,Nautilus,66,28,38,0.42424242424242425,66,0.02006079027355623,3290,3.553471948926495,0.8377504722497311,278.8201202117536,0.0990456041199468,60.06060606060606,0.09090909090909091,0.015151515151515152,63,63,0.19148936170212766,15
overall,MIXED,16.13,UTILITY,111,Nautilus,66,28,38,0.42424242424242425,66,0.1004566210045662,657,3.553471948926495,0.8377504722497311,278.8201202117536,0.0990456041199468,60.06060606060606,0.09090909090909091,0.015151515151515152,63,63,0.19148936170212766,15
overall,MIXED,16.13,ALL,21,MissFortune,65,39,26,0.6,65,0.019756838905775075,3290,4.385414670799287,6.394227111416886,445.62454697938614,0.20658621234645355,18.984615384615385,0.1076923076923077,0.1076923076923077,39,39,0.11854103343465046,15
overall,MIXED,16.13,BOTTOM,21,MissFortune,65,39,26,0.6,65,0.09878419452887538,658,4.385414670799287,6.394227111416886,445.62454697938614,0.20658621234645355,18.984615384615385,0.1076923076923077,0.1076923076923077,39,39,0.11854103343465046,15
overall,MIXED,16.16,BOTTOM,22,Ashe,65,38,27,0.5846153846153846,65,0.09759759759759759,666,4.094900185284801,6.694408745408232,423.4784477482869,0.20407912513094995,19.646153846153847,0.16923076923076924,0.09230769230769231,42,39,0.11711711711711711,15
overall,MIXED,16.17,BOTTOM,22,Ashe,65,35,30,0.5384615384615384,65,0.06448412698412699,1008,3.980732131116747,6.330058058660841,413.6011109458792,0.202095447548355,15.6,0.1076923076923077,0.12307692307692308,78,74,0.14682539682539683,15
overall,MIXED,16.17,TOP,777,Yone,65,31,34,0.47692307692307695,65,0.06448412698412699,1008,2.0856515706515704,6.7109370016610965,394.3298397940081,0.26603283628550595,23.753846153846155,0.13846153846153847,0.23076923076923078,161,147,0.2916666666666667,15
overall,MIXED,16.15,ALL,99,Lux,64,30,34,0.46875,64,0.01549636803874092,4130,3.2175289987789992,2.704447024958724,328.4021973969179,0.20257965026156238,45.484375,0.078125,0.0625,33,33,0.07990314769975787,15
overall,MIXED,16.17,UTILITY,99,Lux,64,30,34,0.46875,64,0.06349206349206349,1008,4.263137361770176,1.534153182317737,314.1952615364707,0.1921216537979415,78.640625,0.03125,0.015625,54,54,0.10714285714285714,15
overall,MIXED,16.17,ALL,799,Ambessa,64,29,35,0.453125,64,0.012698412698412698,5040,2.4589883207070704,5.779475047172359,343.82220155731306,0.206823681869307,23.5,0.0625,0.0625,5,5,0.00992063492063492,15
overall,MIXED,16.17,ALL,31,Chogath,64,28,36,0.4375,64,0.012698412698412698,5040,3.1948938648157394,5.8543955350071055,371.84560800348044,0.18713100646916273,26.078125,0.125,0.046875,18,18,0.03571428571428571,15
overall,MIXED,16.17,ALL,517,Sylas,64,28,36,0.4375,64,0.012698412698412698,5040,3.328673453282829,5.131508779484568,365.4980021732005,0.18783990865175154,23.125,0.21875,0.03125,87,84,0.16666666666666666,15
overall,MIXED,16.17,ALL,90,Malzahar,63,33,30,0.5238095238095238,63,0.0125,5040,2.679879864403674,7.827099706642879,402.6655913535437,0.22745342045639505,22.603174603174605,0.015873015873015872,0.09523809523809523,66,65,0.12896825396825398,15
overall,MIXED,16.16,ALL,75,Nasus,63,33,30,0.5238095238095238,63,0.01891891891891892,3330,3.603772990677752,6.168897211116383,379.3228654679737,0.21157065555342192,18.984126984126984,0.047619047619047616,0.1746031746031746,224,185,0.5555555555555556,15
overall,MIXED,16.13,ALL,22,Ashe,63,30,33,0.47619047619047616,63,0.019148936170212766,3290,3.2383030990173842,6.052655697052085,389.6363577826595,0.20305620534203378,20.0,0.14285714285714285,0.09523809523809523,88,79,0.24012158054711247,15
overall,MIXED,16.14,BOTTOM,22,Ashe,63,29,34,0.4603174603174603,63,0.09051724137931035,696,3.2621703322204576,6.175009541915809,407.10452954941775,0.2074757529092736,18.793650793650794,0.19047619047619047,0.06349206349206349,45,42,0.1206896551724138,15
overall,MIXED,16.17,TOP,799,Ambessa,63,28,35,0.4444444444444444,63,0.0625,1008,2.2757976591309923,5.740193858331697,340.55530203428026,0.2069525026823453,23.396825396825395,0.06349206349206349,0.06349206349206349,5,5,0.00992063492063492,15
overall,MIXED,16.13,ALL,805,Locke,63,24,39,0.38095238095238093,63,0.019148936170212766,3290,3.1313884087693613,5.849838480986261,393.12906058784256,0.2096347007324515,23.714285714285715,0.15873015873015872,0.1111111111111111,144,129,0.39209726443769,15
overall,MIXED,16.13,ALL,51,Caitlyn,62,30,32,0.4838709677419355,62,0.01884498480243161,3290,2.9494177417564513,6.812037820361628,404.7211804288198,0.19720985866789892,17.032258064516128,0.08064516129032258,0.0967741935483871,81,76,0.23100303951367782,15
overall,MIXED,16.13,BOTTOM,51,Caitlyn,62,30,32,0.4838709677419355,62,0.09422492401215805,658,2.9494177417564513,6.812037820361628,404.7211804288198,0.19720985866789892,17.032258064516128,0.08064516129032258,0.0967741935483871,81,76,0.23100303951367782,15
overall,MIXED,16.15,ALL,51,Caitlyn,62,29,33,0.46774193548387094,62,0.015012106537530266,4130,3.1850038402457748,6.853235681440769,421.019164396961,0.22514558139843904,17.516129032258064,0.08064516129032258,0.16129032258064516,58,57,0.13801452784503632,15
overall,MIXED,16.15,ALL,145,Kaisa,62,24,38,0.3870967741935484,62,0.015012106537530266,4130,3.813184351490803,6.885619909452733,444.95137620343064,0.2025620238076504,16.467741935483872,0.20967741935483872,0.11290322580645161,20,20,0.048426150121065374,15
overall,MIXED,16.15,UTILITY,147,Seraphine,61,26,35,0.4262295081967213,61,0.07384987893462469,826,3.466533603009014,1.1973468476259694,286.86574700394874,0.12817776356387497,66.19672131147541,0.08196721311475409,0.01639344262295082,176,161,0.3898305084745763,15
overall,MIXED,16.15,ALL,800,Mel,61,25,36,0.4098360655737705,61,0.01476997578692494,4130,3.3646942538335987,5.780501666690081,397.5630262260931,0.22942673213734524,28.0,0.13114754098360656,0.06557377049180328,177,157,0.3801452784503632,15
overall,MIXED,16.15,ALL,89,Leona,60,35,25,0.5833333333333334,60,0.014527845036319613,4130,3.8957813945313946,0.9622266326600166,289.94631291181054,0.0980256821743172,65.5,0.0,0.03333333333333333,80,76,0.18401937046004843,15
overall,MIXED,16.15,UTILITY,89,Leona,60,35,25,0.5833333333333334,60,0.07263922518159806,826,3.8957813945313946,0.9622266326600166,289.94631291181054,0.0980256821743172,65.5,0.0,0.03333333333333333,80,76,0.18401937046004843,15
