scope,observed_tier,patch,role,spell_id,spell_name,games,wins,losses,win_rate,pick_rate,pick_rate_denominator,min_games_applied
overall,MIXED,16.9,TOP,4,フラッシュ,151,74,77,0.4900662251655629,0.9556962025316456,158,15
overall,MIXED,16.6,MIDDLE,4,フラッシュ,149,75,74,0.5033557046979866,0.9802631578947368,152,15
overall,MIXED,16.1,UTILITY,4,フラッシュ,149,74,75,0.4966442953020134,0.9738562091503268,153,15
overall,MIXED,15.15,ALL,12,テレポート,148,71,77,0.4797297297297297,0.36097560975609755,410,15
overall,MIXED,15.7,ALL,12,テレポート,147,77,70,0.5238095238095238,0.31956521739130433,460,15
overall,MIXED,16.3,ALL,21,バリア,147,77,70,0.5238095238095238,0.16704545454545455,880,15
overall,MIXED,16.6,UTILITY,4,フラッシュ,146,74,72,0.5068493150684932,0.9668874172185431,151,15
overall,MIXED,16.12,ALL,21,バリア,146,72,74,0.4931506849315068,0.16404494382022472,890,15
overall,MIXED,16.11,UTILITY,14,イグナイト,146,68,78,0.4657534246575342,0.6186440677966102,236,15
overall,MIXED,15.17,TOP,12,テレポート,145,73,72,0.503448275862069,0.8950617283950617,162,15
overall,MIXED,15.17,BOTTOM,21,バリア,145,73,72,0.503448275862069,0.8950617283950617,162,15
overall,MIXED,16.6,JUNGLE,4,フラッシュ,145,72,73,0.496551724137931,0.9539473684210527,152,15
overall,MIXED,16.1,TOP,4,フラッシュ,144,71,73,0.4930555555555556,0.935064935064935,154,15
overall,MIXED,16.7,TOP,4,フラッシュ,144,71,73,0.4930555555555556,0.935064935064935,154,15
overall,MIXED,16.18,TOP,12,テレポート,144,64,80,0.4444444444444444,0.42857142857142855,336,15
overall,MIXED,15.17,ALL,14,イグナイト,143,75,68,0.5244755244755245,0.1765432098765432,810,15
overall,MIXED,16.6,TOP,4,フラッシュ,143,74,69,0.5174825174825175,0.9407894736842105,152,15
overall,MIXED,16.14,BOTTOM,12,テレポート,143,68,75,0.4755244755244755,0.20545977011494254,696,15
overall,MIXED,16.2,ALL,11,スマイト,142,71,71,0.5,0.2,710,15
overall,MIXED,16.2,JUNGLE,11,スマイト,142,71,71,0.5,1.0,142,15
overall,MIXED,16.12,BOTTOM,21,バリア,142,71,71,0.5,0.8022598870056498,177,15
overall,MIXED,16.2,BOTTOM,4,フラッシュ,142,71,71,0.5,1.0,142,15
overall,MIXED,16.2,MIDDLE,4,フラッシュ,142,71,71,0.5,1.0,142,15
overall,MIXED,16.3,BOTTOM,21,バリア,140,73,67,0.5214285714285715,0.7954545454545454,176,15
overall,MIXED,16.8,ALL,11,スマイト,140,70,70,0.5,0.2,700,15
overall,MIXED,16.8,JUNGLE,11,スマイト,140,70,70,0.5,1.0,140,15
overall,MIXED,16.1,JUNGLE,4,フラッシュ,140,70,70,0.5,0.9090909090909091,154,15
overall,MIXED,16.8,MIDDLE,4,フラッシュ,140,70,70,0.5,1.0,140,15
overall,MIXED,15.19,UTILITY,14,イグナイト,139,73,66,0.5251798561151079,0.6043478260869565,230,15
overall,MIXED,16.8,BOTTOM,4,フラッシュ,139,69,70,0.49640287769784175,0.9928571428571429,140,15
overall,MIXED,15.13,UTILITY,14,イグナイト,138,71,67,0.5144927536231884,0.71875,192,15
overall,MIXED,16.8,UTILITY,4,フラッシュ,138,70,68,0.5072463768115942,0.9857142857142858,140,15
overall,MIXED,15.10,ALL,11,スマイト,138,69,69,0.5,0.2,690,15
